Invoice Number,Customer,Invoice Date,Due Date,Balance Due
1089,Domain on the Parkway,2026-08-04,2026-08-04,421.09
1016,Durham Heights,2026-07-23,2026-07-23,129.90
1097,Durham Heights,2026-08-07,2026-08-07,595.38
794,Eado Loft Apts,2026-06-06,2026-06-06,324.75
1186,Eleve Apts,2026-08-27,2026-09-26,3788.75
1187,Eleve Apts,2026-08-27,2026-09-26,2800.21
1107,Emory West Cypress,2026-09-05,2026-10-05,2715.21
814,Fairview at Town Center,2026-06-06,2026-07-06,811.88
1180,Falls at Eagle Creek,2026-08-26,2026-08-26,773.99
47,Ferrari of Houston,2025-10-04,2025-10-04,211.09
1190,Florence Luxury Living,2026-08-27,2026-09-26,2126.98
753,Forest Creek,2026-05-27,2026-06-26,378.88
754,Forest Creek,2026-05-27,2026-06-26,1991.80
870,Forest Creek,2026-06-16,2026-07-16,974.25
871,Forest Creek,2026-06-16,2026-07-16,1407.25
872,Forest Creek,2026-06-16,2026-07-16,324.75
873,Forest Creek,2026-06-16,2026-07-16,487.13
874,Forest Creek,2026-06-16,2026-07-16,378.88
875,Forest Creek,2026-06-16,2026-07-16,2625.06
876,Forest Creek,2026-06-16,2026-07-16,433.00
921,Forest Creek,2026-07-02,2026-08-01,2104.38
1101,Forest Creek,2026-08-11,2026-09-10,2413.98
890,Foundations at Austin Colony,2026-06-20,2026-06-20,1082.50
60,Foundations at Edgewater,2025-10-09,2025-10-09,1840.25
893,Foundations at Edgewater,2026-06-20,2026-06-20,1948.50
1010,Foundations at Lion's Head,2026-07-22,2026-07-22,4998.99
934,Foundations at River Crest,2026-07-03,2026-07-03,4221.75
950,Foundations at River Crest,2026-07-08,2026-07-08,1624.83
1165,Gladys Cruz Property,2026-08-24,2026-09-23,397.34
1143,Granary Flats,2026-08-19,2026-09-18,216.50
1171,Granary Flats,2026-08-25,2026-09-24,595.38
1098,Greenwood Forest Apartment,2026-08-07,2026-09-06,2598.00
596,Grove East Apts,2026-04-11,2026-04-11,395.11
659,Halstead,2026-04-27,2026-05-27,4557.33
680,Halstead,2026-05-08,2026-06-07,1288.18
908,Harlow Spring Cypress,2026-06-27,2026-07-27,2565.00
989,Harlow Spring Cypress,2026-07-18,2026-08-17,1275.34
990,Harlow Spring Cypress,2026-07-18,2026-08-17,1340.00
991,Harlow Spring Cypress,2026-07-18,2026-08-17,2619.71
1114,Harlow Spring Cypress,2026-08-14,2026-09-13,1000.00
1122,Harlow Spring Cypress,2026-08-14,2026-09-13,1161.00
1070,Harwood Hills Apartments,2026-08-04,2026-09-03,435.29
1071,Harwood Hills Apartments,2026-08-04,2026-09-03,435.29
94,HEB 4625,2025-10-30,2025-11-29,8795.24
1146,Heights 2121,2026-08-19,2026-08-19,2706.25
1168,Heights 2121,2026-08-25,2026-08-25,541.25
607,Hempstead Warehouse,2026-04-11,2026-04-11,3897.00
906,Hempstead Warehouse,2026-06-27,2026-06-27,794.70
48,Heritage at Clear Creek (Bellevue),2025-10-04,2025-10-04,1239.46
1003,Heritage at Clear Creek (Bellevue),2026-07-18,2026-07-18,19338.86
1096,Heritage at Clear Creek (Bellevue),2026-08-07,2026-08-07,266.00
1135,Heritage at Clear Creek (Bellevue),2026-08-19,2026-08-19,1685.29
755,Heritage Estates,2026-05-27,2026-05-27,1083.14
756,Heritage Estates,2026-05-27,2026-05-27,1570.00
699,Hollow Creek Apts,2026-05-14,2026-05-14,1151.78
177,Karen Hernandez,2025-12-06,2025-12-06,2911.93
178,Karen Hernandez,2025-12-06,2025-12-06,2024.28
412,Karen Hernandez,2026-02-19,2026-02-19,3355.75
413,Karen Hernandez,2026-02-19,2026-02-19,493.89
430,Karen Hernandez,2026-02-24,2026-02-24,1047.86
457,Karen Hernandez,2026-03-03,2026-03-03,8322.26
978,Kennedy Place,2026-07-15,2026-08-14,300.00
979,Kennedy Place,2026-07-15,2026-08-14,745.00
1073,Kennedy Place,2026-08-04,2026-09-03,375.00
1126,Kingsley at Shadow Creek,2026-08-15,2026-08-15,553.89
700,Landings of Conroe,2026-05-14,2026-05-14,890.09
987,Landings of Conroe,2026-07-18,2026-07-18,685.63
1112,Lenox Bayside,2026-08-14,2026-09-13,1661.64
996,Lenox Katy Crossing,2026-07-18,2026-08-17,15231.63
452,Lexington Woods,2026-02-26,2026-03-28,1248.40
572,Lexington Woods,2026-04-04,2026-05-04,385.00
1091,Lexington Woods,2026-08-05,2026-09-04,2258.48
1155,Los Altos at Trinity Green,2026-08-24,2026-09-23,4057.94
1109,Luxe at Katy Apts,2026-08-14,2026-08-14,738.82
1136,Mansions at Hastings Green,2026-08-19,2026-09-18,862.34
1137,Mansions at Hastings Green,2026-08-19,2026-09-18,270.63
1144,Melia Medical Center,2026-08-19,2026-09-18,86.60
1189,Melia Medical Center,2026-08-27,2026-09-26,595.38
877,Mezzo,2026-06-16,2026-07-16,513.45
937,North View HOA,2026-07-03,2026-08-02,2000.00
1185,North View HOA,2026-08-27,2026-09-26,600.00
995,Nottingham Place,2026-07-18,2026-07-18,1178.23
1084,Nottingham Place,2026-08-04,2026-08-04,2119.19
1085,Nottingham Place,2026-08-04,2026-08-04,703.63
1148,Oakgate at Pean Grove,2026-08-21,2026-08-21,3613.42
1149,Oakgate at Pean Grove,2026-08-21,2026-08-21,1840.25
1158,Oakgate at Pean Grove,2026-08-24,2026-08-24,2706.25
1159,Oakgate at Pean Grove,2026-08-24,2026-08-24,649.50
556,Oaks of Huntwick HOA,2026-04-04,2026-04-04,1059.77
760,Oaks of Huntwick HOA,2026-05-28,2026-05-28,2898.92
1086,Oaks of Huntwick HOA,2026-08-04,2026-08-04,194.85
1142,Old Town Spring Business Park,2026-08-19,2026-09-18,541.25
1167,Old Town Spring Business Park,2026-08-24,2026-09-23,1477.60
379,Palm Living at Vintage Park,2026-02-10,2026-03-12,2165.00
863,Palm Living at Vintage Park,2026-06-16,2026-07-16,405.94
1182,Paramount at Kingwood,2026-08-26,2026-09-25,4871.25
1014,Park Village Apts,2026-07-23,2026-07-23,1552.22
1066,Park Village Apts,2026-07-31,2026-07-31,2706.25
1115,Pavilion Place,2026-08-14,2026-08-14,757.75
238,Pearl at The Mix,2026-01-08,2026-01-08,856.96
241,Pearl at The Mix,2026-01-08,2026-01-08,1677.88
1164,Pearl Washington,2026-08-24,2026-08-24,640.18
1124,Pineloch Community Asscn HOA,2026-08-15,2026-08-15,300.00
952,Plantation at Quail Valley,2026-07-08,2026-07-08,433.00
414,Post Oak Logistics,2026-02-20,2026-03-22,3239.15
1020,Preserve at Highway 6,2026-07-23,2026-07-23,3637.20
606,Presidium Revelstoke,2026-04-11,2026-05-11,13747.75
1147,Ranch at Champions,2026-08-19,2026-08-19,2706.25
1123,Rasha at Audubon Apartments,2026-08-14,2026-09-13,2075.03
31,Reserve at City Place,2025-09-20,2025-09-20,1462.46
137,Reserve at City Place.,2025-11-21,2025-11-21,1824.12
1151,Retreat at Magnolia,2026-08-21,2026-08-21,1488.44
1183,Revi Med Center,2026-08-26,2026-09-25,974.25
957,Rock Creek at Hollow Tree,2026-07-11,2026-08-10,6062.00
372,Rowan Empty Lot,2026-02-04,2026-03-06,2056.75
777,Royal Sienna Apts.,2026-06-03,2026-06-03,10608.50
924,Royal Sienna Apts.,2026-07-03,2026-07-03,541.25
943,Sage Hollow Apartments,2026-07-03,2026-08-02,5066.06
1195,Sage Hollow Apartments,2026-08-28,2026-09-27,313.93
605,Sagemont Townhouse,2026-04-11,2026-04-11,3479.16
895,Sagemont Townhouse,2026-06-20,2026-06-20,1140.01
1132,Santoro (Heights on Katy),2026-06-15,2026-07-15,373.46
854,Santoro (Heights on Katy),2026-06-16,2026-07-16,324.75
1033,Santoro (Heights on Katy),2026-07-25,2026-08-24,1786.13
1116,Santoro (Heights on Katy),2026-08-14,2026-09-13,879.54
1117,Santoro (Heights on Katy),2026-08-14,2026-09-13,1744.99
1157,Santoro (Heights on Katy),2026-08-24,2026-09-23,933.85
1092,Sereno Canyon Falls,2026-08-05,2026-09-04,7577.50
962,Shadow Ridge Apts,2026-07-11,2026-07-11,541.25
1131,Skyline Court Homes,2026-08-15,2026-09-14,2273.25
1170,Skyline Court Homes,2026-08-25,2026-09-24,270.63
455,Sophi's Chateau,2026-02-27,2026-03-29,1190.75
788,Sovereign Townhomes,2026-06-06,2026-06-06,1732.00
821,Sovereign Townhomes,2026-06-06,2026-06-06,541.25
1128,Sovereign Townhomes,2026-08-15,2026-08-15,6300.71
1145,Stella at Shadow Creek Ranch,2026-08-19,2026-09-18,1407.25
1082,Summerbrooke,2026-08-04,2026-09-03,2435.63
1079,Summit Ridge,2026-08-04,2026-09-03,4765.17
651,Sun Behavioral Health Houston,2026-04-24,2026-04-24,703.63
958,Sun Behavioral Health Houston,2026-07-11,2026-07-11,2002.63
266,Sunningdale Apts,2026-01-14,2026-01-14,5046.52
418,Sunningdale Apts,2026-02-21,2026-02-21,1926.85
1111,Sunningdale Apts,2026-08-14,2026-08-14,757.75
1169,Sunningdale Apts,2026-08-25,2026-08-25,9742.50
1193,Tanglewilde South HOA,2026-08-28,2026-09-27,433.00
1025,Tate Tanglewood,2026-07-23,2026-07-23,1103.74
1099,Tate Tanglewood,2026-08-08,2026-08-08,4066.95
195,Teakwood at Seabrook,2025-12-15,2025-12-15,1515.50
1094,Territory at Anserra,2026-08-07,2026-09-06,2476.95
1103,Tessa at Katy,2026-08-11,2026-09-10,1407.25
1024,The Abbey at Memorial,2026-07-23,2026-08-22,2384.08
1095,The Abbey at Willowbrook,2026-09-01,2026-10-01,866.00
1172,The Brittmoore Apartments,2026-08-25,2026-09-24,703.63
1044,The Brodie at Cinco Ranch,2026-07-30,2026-07-30,1732.00
932,The Brook at Travis Heights,2026-07-03,2026-08-02,681.98
933,The Brook at Travis Heights,2026-07-03,2026-08-02,270.63
641,The Canopy at Springwoods Village,2026-04-21,2026-05-21,308.51
780,The Catania,2026-06-06,2026-07-06,1428.90
802,The Catania,2026-06-06,2026-07-06,654.91
954,The Chelsea at Fallbrook (Bellevue),2026-07-11,2026-07-11,746.93
966,The Chelsea at Fallbrook (Bellevue),2026-07-11,2026-07-11,1818.60
1156,The Chelsea at Fallbrook (Bellevue),2026-08-24,2026-08-24,372.38
929,The Clara,2026-07-03,2026-08-02,687.39
230,The Dawson Enclave,2026-01-08,2026-01-08,562.90
70,The Eclipse,2025-10-16,2025-10-16,994.60
1177,The Farrington,2026-08-26,2026-09-25,270.63
1040,The Fuse at Park Row,2026-07-30,2026-07-30,1236.19
525,The Henry at Ranchstone,2026-03-23,2026-03-23,1515.50
678,The Henry at Ranchstone,2026-05-08,2026-05-08,947.19
1081,The Isla Apts,2026-08-04,2026-09-03,500.00
1162,The Life at Clearwood,2026-08-24,2026-09-23,757.75
1058,The Lynx Apts,2026-07-31,2026-07-31,3343.84
743,The Maxwell,2026-05-27,2026-06-26,270.63
930,The Maxwell,2026-07-03,2026-08-02,270.63
1046,The Mill Apartments,2026-07-30,2026-08-29,4330.00
184,The Park at Monza,2025-12-09,2026-02-07,16456.40
411,The Park at Vittoria Apartments,2026-02-18,2026-04-19,2498.41
772,The Park at Vittoria Apartments,2026-05-28,2026-07-27,411.35
1179,The Plaza San Jacinto,2026-08-26,2026-08-26,541.25
1056,The Plaza San Jacinto,2026-07-31,2026-07-31,1191.83
905,The Ranch at Sienna,2026-06-27,2026-07-27,562.90
1141,The Retreat at Barber's Hill,2026-08-19,2026-09-18,552.08
8,The Retreat at Spring (Mission Woods Apt,2025-09-09,2025-09-09,2165.00
209,The Retreat at Spring (Mission Woods Apt,2025-12-15,2025-12-15,1618.33
507,The Retreat at Spring (Mission Woods Apt,2026-03-18,2026-03-18,649.50
493,The Rosslyn at Garden Oaks,2026-03-13,2026-04-12,120.00
1083,The Rosslyn at Garden Oaks,2026-08-04,2026-09-03,7794.00
1035,The Station at MacArthur,2026-07-27,2026-08-26,773.99
1049,The Station at MacArthur,2026-07-31,2026-08-30,1082.50
28,The Townhomes at Lake Park,2025-09-18,2025-09-18,434.31
320,The Townhomes at Lake Park,2026-01-26,2026-01-26,1082.50
588,The Veridian at Clear Lake,2026-04-04,2026-04-04,1580.45
963,The Veridian at Clear Lake,2026-07-11,2026-07-11,1299.00
970,The Veridian at Clear Lake,2026-07-11,2026-07-11,16399.97
609,The Westover at West Branch,2026-04-11,2026-04-11,779.40
1181,Tidwell Estates,2026-08-26,2026-08-26,703.63
1050,Timber Ridge Townhomes,2026-07-31,2026-08-30,920.13
687,Town Park Townhomes,2026-05-08,2026-06-07,21650.00
695,Town Park Townhomes,2026-05-14,2026-06-13,3573.33
1104,Town Park Townhomes,2026-08-11,2026-09-10,12990.00
1120,Town Park Townhomes,2026-08-14,2026-09-13,10283.75
1184,Town Park Townhomes,2026-08-26,2026-09-25,920.13
373,Trails at City Park,2026-02-04,2026-02-04,2246.98
1018,Trophy Club Condominiums,2026-07-23,2026-08-22,4289.96
1019,Trophy Club Condominiums,2026-07-23,2026-08-22,1494.99
391,U Pull Out & Pay,2026-02-10,2026-02-10,6495.00
799,Urban Palms,2026-06-06,2026-06-06,1027.29
865,Vance at Bishop Union,2026-06-16,2026-07-16,1794.52
838,Veranda Dellbrook,2026-06-15,2026-06-15,746.93
1027,Verano Apts,2026-07-23,2026-07-23,1732.00
1110,Village Grove,2026-08-14,2026-09-13,270.63
1119,Village Grove,2026-08-14,2026-09-13,378.88
923,Villas at West Road,2026-07-03,2026-08-02,3464.00
1140,Vista at Southwinds,2026-08-19,2026-08-19,2608.83
104,Vista del Rey Apartments,2025-10-30,2025-11-29,433.00
971,Weston At Copperfield,2026-07-11,2026-08-10,5087.75
1072,Weston At Copperfield,2026-08-04,2026-09-03,963.43
1175,Westport Industrial Park,2026-08-25,2026-09-24,108.25
592,Whitney at The Heights,2026-04-11,2026-05-11,665.74
690,Willow Green,2026-05-08,2026-06-07,2165.00
1047,Windsor Estates HOA,2026-07-31,2026-07-31,707.41
787,Woodcreek Hollister Apts,2026-06-06,2026-06-06,1407.25
1045,Woodland Point Apts,2026-07-30,2026-07-30,1272.37
725,Woodwind Village,2026-05-26,2026-06-25,354.33
729,Woodwind Village,2026-05-26,2026-06-25,433.00
1152,Woodwind Village,2026-08-24,2026-09-23,3680.50
1176,Woodwind Village,2026-08-26,2026-09-25,595.38
